Project acronym,title,abstract
LANDGRABRU,‘Land grabbing’ in Russia: Large-scale investors and post-Soviet rural communities,"The mid-2000s saw the emergence of large-scale land acquisitions. While processes of agricultural ‘land grabbing’ have received considerable global attention, particularly in Africa, the land grabbing issue in the countries of the post-Soviet region has gone largely unnoticed This research proposal aims to explore this omission in the ‘land grab’ debate by studying the case of Russia. The main research question is: To what extent and how has global land grabbing occurred in Russia, with what implications to local communities, and how have local communities resisted or modified these land deals (if at all)? The proposed research is pertinent by providing a case distinct from other regions, which is likely to raise new insights on global land grabbing. Several features make the case of Russia remarkably divergent. First, whereas in most parts of the world the current trends see an increase in population density and marginal and forest land being converted into cultivated land, Russia is witness to massive land abandonment and reforestation. Another particular feature is the low level presence of an autonomously organized civil society (which also manifests on the issue of land grabbing contestation). This research will be the first comprehensive study of land grabbing and related rural social movements in Russia and the post-Soviet area at large. Rural movements have been studied mainly in Latin-America, Africa and Asia. In contrast, research on rural movements in post/reform socialist contexts (such as China) is still in its infancy, and practically absent in Russia. The proposed research aims to establish a new field of ‘(post)-socialist land grabbing and rural social mobilisation’ studies. Moreover, it will contribute to more broad debates on civil society and protest in state dominated, post/reform-socialist countries, by studying these issues from the perspective of the (mostly ignored) rural areas."
Red Revolution,Red Revolution: The Emergence of Stem Cell Biotechnologies in India,"The biotechnological landscape in India can be conceptually demarcated as green and red. The post-independence, state supported, rise of ‘green, agricultural, biotechnologies’ - heralding the fabled ‘green revolution’ - is well documented. Less well understood is the recent rise of ‘red biotechnologies’ and moves to engineer a ‘red revolution’ of health care based on human tissues and biogenetic substance. The proposed project analyses the interplay between state, citizens/consumers and emerging markets in human stem cell technologies in India. These developments pose profound bioethical and political questions. The research examines the emerging research/therapy interface with a view to explicating the ‘high risk and high gain’ production of stem cell biotechnologies in India. The study will produce an in-depth multi-sited ethnographic mapping of the stem cell terrain in India. The main objective of this research is to critically understand the agential and structural processes authoring unprecedented new developments in stem cell research and therapeutics in India. These processes are captured under four interlaced research themes: (1) promissory health: state, citizens and stem cell biotechnologies (2) therapeutic mobility: global travel for stem cells (3) bioeconomy and biotechnology: public health or private wealth? (4) ethics of governance, governance of ethics. These important nodes are entry points into the world of science, clinic, economy, policy and polity. Together these sites will enable an ethnographic mapping of the disparate assemblages of actors, local and across the globe, which the red revolution is currently forging."
IDAR,The International Dimensions of Authoritarian Rule,"This project examines the international dimensions of transitions to and consolidation of authoritarian rule. The need for greater theoretical focus on the sources of authoritarian politics reflects the enduring power and influence of non-democratic regimes in an increasingly democratic world. However, while recent scholarship has sought to conceptualise and explain the enduring patterns of authoritarianism, the existing literature in this field has focused almost exclusively on domestic-level politics, and has marginalised international-level factors. Building on the expertise of the Principal Investigator in the international politics of regime change, this project will overturn existing understandings and will create a new agenda for future research by providing a dedicated and comparative analysis of international dimensions of authoritarian rule that rests on the systematic study of a wide range of quantitative and qualitative evidence by an integrated team of specialist researchers. The project will involve an innovative multi-method research design that combines advanced quantitative techniques (to assess the international influences on regime duration over time) with rigorous case study analyses (to identify the causal mechanisms linking international variables to domestic authoritarian politics). The four-year project will help establish a new scholarly community with a common intellectual focus, which will collectively pioneer a new agenda for research into the international politics of authoritarianism. The overall project team will be comprised of the PI, one full time-time post-doctoral research fellow, two full-time doctoral students, a part-time doctoral research assistant, and the partial involvement of Dr Jonathan Glub from the University of Reading. The project outputs will include a PI-authored monograph and a PI-edited collected volume, as well as a range of individual and collaborative research articles."
TICMP,Tolerance in Contemporary Muslim Practice: Political Theory Beyond the West,"Academic research has consistently studied conflict but there is very little engagement with actually existing tolerance mechanisms of tolerance and this project breaks new ground in studying tolerance by explicitly engaging with both empirical detail and theoretical constructions in the predominantly Muslim context of Pakistan. The project comprises of two strands of enquiry that come together to suggest a new way of approaching political theory from non-western contexts. By investigating the political thought of two key religious public intellectuals on the issue of tolerance at the same time as collecting oral histories and ethnographic interviews from population groups that live in extremely precarious contexts, such as recent refugees from Pakistan's tribal areas into three large cities, the project aims to help build a new field of study within European academia: comparative political theory."
UNDERINDIA,The Underbelly of the Indian Boom: Adivasis and Dalits,"In recent decades India has experienced exceptionally high economic growth rates, becoming one of the world’s fastest growing major economies. Yet, the redistribution of the fruits of economic growth – the trickle down effects of growth – have been negligible for vast swathes of India’s population, most of who live in the countryside. The demographics of the poor are starkly socially marked. Economists tell us that India’s dalit and adivasi communities, who account for almost 25% of the country’s population and were historically seen as ‘untouchable’ and ‘savage’, suffer from disproportionate levels of poverty, remaining worse off than other groups almost everywhere across the country. But econometric analysis is unable to tell us how and why this is the case. This project uses an innovative anthropological approach to understand the processes by which poverty is reproduced through agrarian relations and the shift from farm-based social and economic hierarchies towards new forms of power and exploitation off the farm which lead to the persistence of dalit and adivasi marginalisation across India. Informed by recent statistical research and policy shifts at the national and state levels, this project will craft a more critical and powerful alternative to poverty measurements by ethnographically exploring the relationship between political and economic transformations in rural-based dalit and adivasi lives, and the transformations taking place at the macro level. It thus establishes a new methodological field which structures ethnography in the framework of political economic theory and brings this combination to the centre of understandings of poverty. It will provide the first historically situated ethnographic studies which are comparative, not only in their regional distribution, but also in their underlying theoretical and methodological bases."
ReDefTie,Redefining tie strength – how social media (can) help us to get non-redundant useful information and emotional support,"Social media offer us effortless ways to stay in touch with large numbers of individuals. These individuals can be friends (strong ties), acquaintances (weak ties), or people we barely know (absent ties). Decades of social capital research have shown that strong ties are useful because they provide us with emotional support and weak ties are useful because they provide us with non-redundant useful information, but absent ties do not provide us with any benefits at all. Now, social media challenge these conclusions. Through social media, people connect to absent ties daily, so apparently there are benefits involved. My central question therefore is: To what extent do social media change how, and from whom, we seek and receive informational and emotional support? Social media technologies have changed the frequency and nature of our social connections. Smart phones allow a constant connection with our social network, sometimes even preventing us from socializing face-to-face. Twitter facilitates asymmetric relationships, such that even marginalized individuals can connect to important information sources. Facebook has set a norm where individuals who in the past we would merely have nodded to, are now embedded in our network of “friends“. It seems natural to assume that, if the way we maintain our social network changes, the way we extract social capital from that network also changes. To deepen our understanding of the effects of social media use on receiving informational and emotional support, I will employ several methods. By means of a large longitudinal study (subproject 1) in a representative sample, I aim to detect causal relationships between social media use at time t and informational and emotional benefits at time t+x. In addition, two subprojects will study in detail the cognitive and affective processes underlying informational (subproject 2) and emotional (subproject 3) benefits of social media use."
IGMs,International Grievance Mechanisms and International Law and Governance,"The paradigms and terms of global governance have raised considerable debates in social sciences, as this elusive notion reflects the complexification of the decision-making fora, actors and processes which address globalised issues. Primarily intended as the legal framework of inter-state relations, international law is deeply shaken up by global governance approaches. In particular, because of systemic regulation and justiciability gaps, it shows a relative inability to create the mechanisms necessary to encompass certain transnational activities which have an important impact while those directly affected often have no direct legal bond with the source-actor which could enable them to ask it directly to account. However, the international scene witnesses the emergence of international grievance mechanisms (IGMs) which escape from traditional legal patterns and might fill certain regulation and justiciability gaps. Though located in an international law context, they are not legal accountability mechanisms and are defined as non-judicial grievance mechanisms set up on a permanent basis by non-binding international instruments or international organizations, which aim at calling an entity –either public or not– to account for its actions when no responsibility/liability mechanism can be set in motion because of the nature of the actors involved, the lack of direct legal bond between them, and the fact the instruments these IGMs control ‘compliance’ with are non-binding. The proposal makes the hypothesis that the study of these mechanisms, which seem symptomatic of international regulation and justiciability gaps, can contribute to the understanding of the mutations international law is experiencing in the context of global governance and beyond, to enhance the knowledge of the challenges ahead in terms of global governance regulation."
DELPOWIO,Delegation of Power to International Organizations and Institutional Empowerment over Time,"In recent decades, there has been a steady increase in the number of international Organizations (IOs). At varying levels states have surrendered some authority to IOs, giving them different levels of institutional empowerment. While in the EU, IMF and World Bank there has been a steadily extension of their competences, in the GATT/WTO-Secretariat, NATO and WHO the degree of delegated authority has remained constant. How can we explain these different degrees of authority granted to IOs and their evolution over time? We argue that institutional empowerment is a function of temporal dynamics, the degree of cohesion among principals, and the institutional design of the delegation contract. On the theoretical side, the aim of the proposed interdisciplinary project is to produce theory-driven knowledge by developing a model of power delegation to IOs that integrates a temporal dimension into the principal-agent approach. This will be done by resorting to four different disciplines: political science, economics, law, and organizational sociology. On the empirical side, the main novelty of the project consists in adopting a comparative research design and a longitudinal perspective. We will analyse the institutional empowerment of six different IOs (EC/EU, GATT/WTO, IMF, WHO, UNESCO, and World Bank) over a period of 65 years (1950-2015). Given the aim and scope of this research, the project is to be regarded as theory-building and hypothesis-testing research. It will be based on extensive qualitative work conducted in the archives of these four IOs as well as on elite interviews with national and international officials. With this project we will gain new insights into the following fields: consequences of power delegation to IOs. temporal dimension of the interaction between states and IOs. preference formation of states. comparison of different types of IOs. This will allow us to answer the broader and more general question of the conditions under which IOs can operate as independent actors in world politics and to advance theoretical insights and empirical research in International Relations."
HUBBOR,"Human Rights Beyond Borders: The extraterritorial application of international human rights law - comparative legal, historical and theoretical approaches","This project will provide detailed, comprehensive, independent and authoritative explanation and critical appraisal of the extraterritorial application of human rights law, covering both civil and political rights and economic social and cultural rights, including the right to development. It will do this through analysis of both the law itself, and the cognate theoretical ideas and historical context. In its path-breaking cross-disciplinary orientation, the combined focus on law, theory—economic, social and political—and history will provide entirely novel ways of thinking about both the subject-matter and the cognate theoretical and historical ideas. Equally, the full-spectrum comparative treatment of human rights— not only civil and political rights but also economic, social and cultural rights—will provide new and innovative insights on the extraterritorial aspects of each area of law. Although the project will provide a more up-to-date treatment of the law, and a more sustained and even-handed treatment of the full range of human rights, than is offered in existing scholarship on the topic, more fundamentally the profoundly different methodological approach adopted will take ideas about the topic into entirely new terrain. The project is concerned with a radical innovation in analysis on the subject when compared to existing scholarship, in offering for the first time a cross-disciplinary analysis of the law through the application of theoretical and historical methodologies, and also an analysis of the broader theoretical and historical trends implicated in the relevant areas of law. The more ambitious methodological treatment in the project will break new ground in moving fully beyond exclusively or predominantly ‘black letter’ analyses of the law in existing scholarship, but in a manner that is then able to move back from the broader perspective to provide radically novel insights into that law drawn from it."
LexMercPub,Transnational Private-Public Arbitration as Global Regulatory Governance: Charting and Codifying the Lex Mercatoria Publica,"The proposed research will analyze the rising phenomenon of transnational arbitrations between private economic actors and public law bodies as a mechanism of global regulatory governance. It breaks with the prevailing view that arbitration involves no more than settling individual disputes and hypothesizes instead that arbitrators generate the rules governing public-private relations rather independently of specific domestic legal systems and their democratic processes, and thereby prospectively steer and restrict government conduct. The body of law thus crafted by arbitral tribunals is what the project designates as lex mercatoria publica, in allusion to the a-national law generated by arbitral tribunals in international private-private disputes. Unlike existing research, the proposed project will provide a comprehensive (historic, sociological, political, economic, and legal) perspective on the lex mercatoria publica and explore its legitimacy. It will, by empirically charting the modern and historic practice of private-public arbitration, describe and analyze the content of the lex mercatoria publica and develop, through comparative law research, normative criteria to assess the legitimacy of private-public arbitrations in democratic societies that are based on the rule of law. The research will result in a comprehensive online database and a codification of both the principles of private-public arbitration and of the lex mercatoria publica as developed and applied by arbitral tribunals. The project will enable arbitrators, judges, and other international and national decision-makers to render more predictable, more circumspect, overall better, and fairer decisions concerning private-public arbitration. This will provide solid foundations for enhancing transnational private-public arbitration as an institution of global regulatory governance in the interest of better and more efficient cooperation between states and private economic actors in the global economy."
LLECJ,Law and Language at the ECJ,"This project will examine the production of the multilingual jurisprudence of the Court of Justice of the European Union (ECJ), aiming to elaborate a new understanding of the development of EU 'constitutional law'. The development of a rule of law within the EU is due in a large part to the judicial pronouncements of the ECJ. To date there has been no study which has taken account of the fact that the jurisprudence of the ECJ consists primarily of collegiate judgments drafted by jurists in a language that is generally not their mother tongue, undergoes many permutations of translation into and out of up to 23 different languages and is necessarily shaped by the way in which that Court functions as a multilingual, multicultural organisation, and the dynamics between actors within that Court (with the notable exception of the body of work built up by the PI in the current project proposal). Nor has there been any consideration of the important LINGUISTIC aspect of the role of the Advocate General in the formation of EU law. This project will build up on innovative research already carried out by the PI and will bring together theories and methodologies from research fields which traditionally pay little attention to each other (linguistic theories, anthropological research methods and law): examining the ECJ's jurisprudence, specifically through translation and taking account of the cultural compromises by which that Court functions, and considering the implications for the understanding and application of EU law."
HHPOLITICS,A Household Finance Theory of Political Attitudes and Political Behavior,"How do individuals insure themselves against economic shocks, as consumers and savers on their own, and as voters, through the political process? The recent financial and economic crisis has seen people lose their jobs and their housing equity, partly as a result of insufficient economic buffers in good times. What does this mean for social insurance? We need to understand the connection between household finances and political attitudes to social insurance and redistribution, both in good times and in bad. I argue that in order to understand the political economy of redistribution and social insruance, we need to allow for imperfect asset markets in the form of liquidity (or credit) constraints and for asset holdings, including housing equity. The goal of the project is to investigate theoretically and empirically on Danish data (i) how differences in liquidity constraints affect political attitudes and preferences. (ii) where such differences come from and what that means for understanding links between personal traits and personality, socio-economics and political attitudes and behaviour. (iii) how these insights can be used to understand political attitudes towards the new wave of neo-paternalistic policies (including so-called ‘nudging’) inspired by behavioural economic research. and (iv) whether differences in liquidity constraints can help us understand changes in political attitudes and preferences over the long-run. The central empirical part of the project is to link uniquely detailed individual level high quality data from Danish administrative registers - including current and historical data on all tax-declared income sources, bank deposits, assets and liabilities, as well as detailed demographics, educational and occupational data - to a running, large-scale panel survey of a large random sample of adult Danes, and to extend this survey both in time and in scope, specifically with questions on political attitudes and political preferences."
UNITRAN,Understanding Intergenerational Transmissions: A Cross-Disciplinary Approach,"This project combines the best sociology and economics has to offer to establish a new understanding of intergenerational transmissions. We know that socioeconomic outcomes are correlated across generations, but we have only little understanding of the mechanisms and intergenerational transmissions which generate these correlations. In this project, we propose to combine formal models of intergenerational transmissions in economics with substantive insights from sociology to develop new and improved models of intergenerational transmissions. Furthermore, we combine longitudinal data with state-of-the-art econometric methods to analyze intergenerational transmissions of cultural endowments and educational expectations, the role of the extended family in intergenerational transmissions, and finally the utility of educational decision making. The project has the potential to significantly improve our understanding of the causes and consequences of intergenerational transmissions and, in doing so, to contribute new knowledge to inform policies to promote social mobility."
Neo-Federalism,Dividing Powers among People(s): Towards a New Federal Theory for the 21st Century,"How should political power be divided within and among national peoples? Can the nineteenth-century theory of the sovereign and unitary State be applied to the social reality of the word of the twenty-first century? If not, what constitutional and philosophical theories can make sense of the empirical and normative world of our times? The rise of international organizations and, within Europe: the emergence of the European Union, have challenged the idea of the sovereign state ever since the end of the Second World War. And, in a seemingly paradoxical parallel, the myth of monolithic state power has equally come under attack from within states. Indeed: many modern states currently experience a political and constitutional devolution (Italy, Spain, United Kingdom). Can we identify these developments with federal theory? Federalism is a philosophical and a constitutional problem. The federal principle has made a long ‘journey through time in quest of a meaning’ (SR Davis). Modern federalism emerged with the rise of the European State system. And in the nineteenth century, the federal idea became reduced to the idea of the Federal State. In the light of this reductionism, international centralisation and regional decentralisation continue to be – largely – misunderstood by mainstream European legal scholarship. The proposed project would fill this gap by providing a comparative constitutional analysis of the federal principle. It will analyse the historical evolution of the principle from the eighteenth to the twenty century in the first part, and concentrate on three contemporary experiences of “dividing” or “sharing” sovereignty in the second. The three case studies of (neo)federalism in the 21st century correspond to three legal sphere: the international sphere (United Nations, World Trade Organisation), the supranational sphere (European Union, NAFTA), and the regional sphere (Spain, United Kingdom)."
COMBATTRAUMA,From warfare to welfare: a comparative study of how combat trauma is internalized and institutionalized,"This project is an anthropological study of combat trauma in three Western nations: Israel, the United States, and the Netherlands. Trauma means different things to different actors, and acquires a different value (both economic and social) in different therapeutic settings. Research will examine how clinical notions of combat trauma are established, adapted, resisted or internalized in different nations. It will result in a comparative framework for understanding how combat trauma is shaped by two major modern institutions: the military and psychiatry. Methodologically, it combines ethnographic fieldwork with veterans, research on clinical practices, and analysis of the policies and discourses that institutionalize combat trauma. Unusual within trauma studies, it aims to shed light on potentially conflicting values about violence and suffering in military and psychiatric instiutions, which may be less apparent to researchers trained within those institutions. By analyzing how veterans and clinicians perceive ethnicity, it will also contribute to understanding of the experiences of subordinate ethnic groups in military and psychiatric institutions. It is expected to identify key problems in the delivery of good care to veterans and have an impact on policy and healthcare. Theoretically, it will advance studies of biopolitics and medicalization. Existing theories tend to minimize how patients contest clinical models of illness. The moral significance of violence in combat trauma may, however, create particular kinds of resistance to clinical illness models – an issue that has not been previously addressed. This study will make a major contribution to understanding how war related suffering is internalized and institutionalized as clinical illness. It will also advance social science studies of psychiatry during a time when the field is undergoing a major and controversial move towards a biological approach to mental illness."
CSV,"Conflict, Strategies, and Violence: An Actor-based Approach to Violent and Non-Violent Interactions","Existing research has tended to equate conflict with violence, lumping all “non-conflict” situations together. This is unfortunate on theoretical and empirical grounds. Definitions of conflict highlight incompatibilities, which may motivate actors to resort to violence, but do not automatically generate violence and can be settled or managed in non-violent ways. Lumping together as “not violence” both cases without incompatibilities or agency and cases where actors pursue different strategies ultimately undermines our ability to understand conflict processes and test core arguments about conflict, strategies, and violence, and leaves us unable to assess whether the observed global decline in violence may reflect increasing use of alternative strategies, more state deterrence/accommodation, or fewer incompatibilities in the first place. This project will examine conflict in terms of incompatibilities between actors, where the specific structure of the incompatibilities and the strategies and interactions determine whether we see escalation to violence as well as alternative outcomes such as accommodation or regime change. It will extend my prior research on civil war and focus more clearly on actor motivations, alternative outcomes to conventional civil war, and take seriously non-violent strategies in conflict and protest. Whereas previous research has tended to study violent and non-violent conflict as separate phenomena, this project will focus on violent and non-violent actions as possible substitutes and compliment and explain variation across a range of alternative outcomes, as illustrated in the so-called Arab spring, where we see both non-violent protest and violent insurgencies, as well as state responses ranging from violent repression to accommodation. The project will also consider how transnational factors can influence the choice of strategies that actors make in conflicts."
GAPRR,Gendering activism in populist radical right parties. A comparative study of women’s and men’s participation in the Northern League (Italy) and the National Front (France),"Building on two pilot studies conducted in 2010, the proposed research will explore the gender dimensions of anti-immigration social movements in contemporary Europe. This will be done through a comparative analysis of activism in two populist radical right parties: an ethnographic and documentary study of activism in the social and cultural associations linked to the Northern League party (NL) in Italy and to the National Front party (NF) in France. During the applicant’s earlier research on the NL, it became clear that the themes of women’s rights and gender equality are increasingly mobilised in instrumental ways by this party, seeking to attract women’s votes. This corresponds to a recent radicalisation of the NL’s discourse, which in the past decade has increasingly targeted migrants coming from Muslim countries: in this discourse, immigration is associated with sexual violence and gender conservatism. The research will mobilise these earlier studies while expanding their focus through a comparative perspective. In examining current developments in the ideology and politics of the NL and the NF, and their attempt to modernise their public image, the proposed comparative research will contribute to ongoing theoretical debates about the articulation of racism and gender as well as about the role played by gender in collective action. The proposed research is ground-breaking in two ways. First, only a minority of ethnographic studies exist which focus on activism in radical right organisations, as sociologists have tended to focus on left-wing social movements. More specifically, very few studies have investigated the role played by women in radical right social movements. Second, the few existing qualitative studies of women’s activism in these organisations fail to compare systematically the practices women and men. As opposed to these existing studies, the proposed research will examine both women’s and men’s involvement in these organisations."
TEMS,The Effects of Marketization on Societies: The Case of Europe,"In the European Union and beyond, policymakers have come to use the market as a general-purpose policy tool. Dissatisfied with the existing institutions of capitalism, they have introduced price-based competition into new areas of life and ratcheted up competition where markets were already present. Although the recent financial crises have sparked protests and fuelled criticisms of the capitalist system, policymakers are responding with public sector and welfare state reforms that, in fact, constitute an intensification of market relations in society. I label the introduction and intensification of price-based competition ‘marketization’. The aim of the project is to establish a new strand of comparative institutional research into this phenomenon, by developing, grounding, and testing a general theory of marketization. The main proposition that the team will assess is that marketization leads to an increase in inequality, in terms of income, security, and participation. three separate mechanisms are proposed mediating this effect. TEMS opens new horizons in the understanding of economic governance, employment relations, and inequality. Data will be collected in four workplace contexts in four European countries – at least one of which will have implemented marketizing reforms as part of a financial bailout package – and a structured comparison will be conducted of the sixteen qualitative cases. The objectives are to (1) synthesize the theory and evidence on marketization and its social effects. (2) qualitatively document the phenomenon in four workplace contexts in four countries. (3) conduct analysis of the data drawing on the comparative and grounded-theory traditions, and (4) disseminate findings through a book, a reader, a series of articles, and online methods. The research team will include the PI and two lecturers (all spending 50% of their time on this project), a post-doc (on 100%), and a PhD student."
FoundLaw,Reinventing the Foundations of European Legal Culture 1934-1964,"It is often claimed in the rights and culture debate that certain rights are a reflection of a European culture and tradition and thus not universal. What this study demonstrates is that even in Europe the rights tradition is a conscious construction by a group of legal scholars reacting to contemporary events. This study is about a group of innovators who are forced to reinvent themselves and their science abroad after being exiled by Nazi Germany. This reinvention meant that they had to first rethink all that they had previously done and then to address a new audience in a new language, simultaneously trying to make sense of the catastrophe. In response, they created a theory a common European legal culture, founded on ideals of the rule of law. A reaction to the nationalistic totalitarian regimes, they sought to show a great tradition based on liberty and justice. What this study offers is a twist, in that the reinvention had a second, even more influential life after the war. What the anti-totalitarian narrative formed by the exiles offered to the academic community was an explanation and a new self-understanding of law and legal science as a bulwark against dictatorship, enabling them to respond to the challenge of socialism. Combining archival research, bibliometrical studies and social analysis, the project will study the creation of the rights theory through the intellectual histories of five key figures. Studying correspondence, lecture notes, and published materials on how the idea of a common European legal past was formulated, discussed and disseminated, the project contests the claims of current research that the rights tradition was an accepted historical fact. The starting point of the study, 1934, is the first response to the Nazi takeover and the expelling of civil servants of Jewish ancestry, while the end point, 1964, includes the reaction to the Berlin Wall and the consolidation of the hostilities between East and West in Europe."
INVEDUC,"Investing in Education in Europe: Attitudes, Politics and Policies","Comparative welfare state research has neglected the study of education for a long time. In particular, very little is known about citizens’ attitudes on education policies and how these attitudes are reflected in processes of policy reform. The core of the proposed project is to conduct an original survey in eight European countries to provide, for the first time, internationally comparative data on individual attitudes and policy preferences on education. Individual attitudes are conceptualized to vary along three dimensions: the level of investment in education relative to other social policies, the promotion of different kinds of education (academic versus vocational education) and the distribution of competencies across levels of governments (governance). Particular attention will be paid to policy feedback effects, i.e. how macro-level institutional contexts (welfare states) shape the dynamics of preference formation on the micro level. Thus, the ultimate goal is to be able to understand cross-national variation in policy attitudes. The second phase of the project will analyze the linkages between attitudes and policy-making, using the insights from the survey. In the form of case studies of recent education reforms, we will ascertain whether policy-makers cater to public opinion in general, particular electoral constituencies or organized interests. The project breaks new ground by expanding research on welfare state attitudes to the field of education policy and improving our general understanding of the linkages between citizens’ preferences and policy-making."
REFCOM,The Real Estate/Financial Complex,"Real estate and finance were at the roots of the global economic crisis that started in 2007. States and their many institutions have also been seen as complicit to the crisis. The connections between real estate (both residential and non-residential), finance and states still remain under-researched and under-theorized. Work in various political economy traditions has done a great deal of research into the connection between finance and states, but they have often ignored a crucial sector: real estate. There is also a tradition of work focusing on the interaction between real estate and states, usually concentrating on the involvement of municipalities in real estate projects. Finance is often ignored in this tradition. Moreover, this tradition has its roots in urban studies and is very micro focused, while the various political economy traditions are very macro focused. In other words, we not only need a stronger connection between finance and real estate, we also need a stronger connection between different scales: local/urban, national and global. I here propose a new metaphor that can help us to centre attention on the connection between real estate, finance and states: the real estate/financial complex, akin the military/industrial complex. Both complexes should be seen as triangles since states are also part of the equation. A Postdoc will do internationally comparative research on both the quantitative and qualitative shifts towards real estate, finance and their interaction. Three PhD students will focus on two countries each, each complementing two national mappings of the complex with two local/urban case studies. The PI will focus on the qualitative shift towards real estate, finance and the role of the state in this. the global dimensions of the complex. and the conceptualization of the complex in relation to the structural changes in state-society-market relations."
CitizenSense,Citizen Sensing and Environmental Practice: Assessing Participatory Engagements with Environments through Sensor Technologies,"This project will investigate, through three case studies, the relationship between technologies and practices of environmental sensing and citizen engagement. Wireless sensors, which are an increasing part of digital communication infrastructures, are commonly deployed for environmental monitoring within scientific study. Practices of monitoring and sensing environments have migrated to a number of everyday participatory applications, where users of smart phones and networked devices are able to engage with similar modes of environmental observation and data collection. Such “citizen sensing” projects intend to democratize the collection and use of environmental sensor data in order to facilitate expanded citizen engagement in environmental issues. But how effective are these practices of citizen sensing in not just providing “crowd-sourced” data sets, but also in giving rise to new modes of environmental awareness and practice? Through intensive fieldwork, study and use of sensing applications, the case studies will set out to contextualize, question and expand upon the understandings and possibilities of democratized environmental action through citizen sensing practices. The first case study, “Wild Sensing,” will focus on the use of sensors to map and track flora and fauna activity and habitats. The second case study, “Pollution Sensing,” will concentrate on the increasing use of sensors to detect environmental disturbance, including air and water pollution. The third case study will investigate “Urban Sensing,” and will focus on urban sustainability or “smart city” projects that implement sensor technologies to realize more efficient or environmentally sound urban processes."
GoJ,THE GENDER OF JUSTICE: THE PROSECUTION OF SEXUAL VIOLENCE IN ARMED CONFLICT,"The international community now recognises the impact of ‘gender-based harms’ of conflict, the armed violence that targets or disproportionately affects women. It also acknowledges the obligation to prosecute these crimes. However, many claim that international justice continues to fail women victims of war. So are we witnessing a new age of accountability for these crimes against women? Or does international criminal justice reproduce existing gender inequalities? Some fifteen years after the establishment of the first international criminal tribunal, these questions remain unanswered. The proposed research takes up these fundamental problems of gender and justice, and develops an innovative research ‘gender justice’ framework. This framework engages with the thoroughly social nature of gender and justice. It examines how social actions and norms construct categories of the person, the harmful, and the just by building a social theory of ‘gender justice’. This theory investigates the nature of gender harms, identifies how sexual differentiation shapes law, and provides a normative model of gender justice. It is built upon a unique socio-legal case study of the international and national prosecution of sexual violence in the Yugoslavian conflict. Sexual violence in armed conflict is the most pervasive and visible of criminalised gender-based harms. It is also the area in which international law claims to have made its most significant advances. This case study provides a systematic and rigorous means of building models of highly complex social processes, and of developing explanatory and normative theories of ‘gender justice’. The project proposes a new framework that takes ‘gender justice’ as an object of research. It creates a new field of inquiry, with specific research problems, new conceptual and methodological frameworks, and identifiable normative criteria. Ultimately, the project aims to change our ideas of ‘gender justice’ itself."
MISTS,Market-Based Initiatives as Solutions to Techno-Scientific Problems,"MISTS engages with market based initiatives employed as potential solutions to techno-scientific problems. MISTS will draw together two strands of STS research: the turn to research on markets and STS literature on science problems (and solutions). These two areas will be drawn on in exploring four sub-projects which feature market based initiatives as solutions to problems: an attempt to build a market for privacy. an initiative to incentivise vaccine research. a scheme through which trading of evidence in electronic waste could take place. and a national system to render STS research competitive. Objectives: To enhance our understanding of the ways in which market based initiatives are increasingly being harnessed to address techno-scientific problems To understand the genesis, development, experience and consequence of utilising markets as solutions to problems To analyse in-depth the recursive nature of problem-solution relationships To draw together hitherto often separate strands of STS research To develop and consolidate a research programme focused on techno-scientific markets, problems and solutions Market based initiatives are pervasive as apparent solutions to techno-scientific problems. From the management of waste, to attempts to invigorate competition in (social) scientific research, markets are heralded as a means to redistribute economic and moral value, reorient priorities and stimulate action. However, market based initiatives are also frequently critiqued for their apparent failure, for shaping the actions of those subject to them and for a broad variety of other unexpected and unintended consequences. The four sub-projects, addressing key areas of contemporary concern – privacy, health, environment and the future of academia – will form a research programme which will develop insights for the STS research community, for those involved in researching markets and for those interested in techno-scientific problems and solutions."
